area,majoraxislength,minoraxislength,eccentricity,convexarea,equivdiameter,extent,perimeter,roundness,aspectration,class,clusters
5813,134.493,55.82,0.91,5904,86.031,0.529,311.005,0.755,2.409,jasmine,3
5270,128.178,53.194,0.91,5379,81.914,0.525,297.276,0.749,2.41,jasmine,3
6133,138.332,57.403,0.91,6293,88.367,0.628,320.388,0.751,2.41,jasmine,3
6207,139.274,57.782,0.91,6323,88.899,0.753,320.825,0.758,2.41,jasmine,3
6875,146.372,60.714,0.91,7035,93.56,0.562,340.726,0.744,2.411,jasmine,1
5463,130.964,54.287,0.91,5629,83.401,0.599,306.634,0.73,2.412,jasmine,3
7236,150.43,62.349,0.91,7453,95.985,0.553,367.844,0.672,2.413,jasmine,1
5104,126.407,52.385,0.91,5210,80.614,0.788,294.219,0.741,2.413,jasmine,3
5943,136.38,56.492,0.91,6121,86.988,0.602,321.893,0.721,2.414,jasmine,3
5006,125.313,51.873,0.91,5170,79.836,0.75,292.789,0.734,2.416,jasmine,3
5718,133.368,55.202,0.91,5826,85.325,0.594,307.776,0.759,2.416,jasmine,3
7365,152.113,62.95,0.91,7657,96.837,0.805,365.062,0.694,2.416,jasmine,1
5994,137.03,56.683,0.91,6334,87.36,0.524,348.74,0.619,2.417,jasmine,3
6334,141.143,58.362,0.911,6511,89.804,0.712,329.128,0.735,2.418,jasmine,3
6676,144.433,59.71,0.911,6832,92.196,0.611,336.166,0.742,2.419,jasmine,1
5753,134.167,55.46,0.911,5951,85.586,0.721,317.55,0.717,2.419,jasmine,3
5516,131.61,54.403,0.911,5664,83.804,0.801,305.036,0.745,2.419,jasmine,3
6445,142.381,58.781,0.911,6583,90.587,0.595,328.178,0.752,2.422,jasmine,3
5642,132.724,54.788,0.911,5809,84.756,0.544,322.853,0.68,2.422,jasmine,3
5170,127.164,52.486,0.911,5277,81.134,0.752,294.451,0.749,2.423,jasmine,3
5296,129.181,53.314,0.911,5506,82.116,0.573,311.647,0.685,2.423,jasmine,3
5551,133.199,54.929,0.911,5669,84.07,0.525,311.51,0.719,2.425,jasmine,3
7453,153.583,63.323,0.911,7720,97.414,0.544,366.62,0.697,2.425,jasmine,1
5983,136.878,56.43,0.911,6094,87.28,0.801,315.431,0.756,2.426,jasmine,3
5572,133.085,54.865,0.911,5775,84.229,0.743,318.914,0.688,2.426,jasmine,3
6468,142.95,58.907,0.911,6721,90.749,0.603,340.6,0.701,2.427,jasmine,1
5698,133.436,54.975,0.911,5796,85.176,0.552,305.628,0.767,2.427,jasmine,3
6542,144.267,59.414,0.911,6785,91.266,0.762,338.258,0.718,2.428,jasmine,1
6328,141.358,58.212,0.911,6474,89.761,0.547,331.893,0.722,2.428,jasmine,3
5743,134.52,55.318,0.912,5890,85.511,0.662,314.233,0.731,2.432,jasmine,3
5326,130.221,53.543,0.912,5510,82.348,0.753,305.582,0.717,2.432,jasmine,3
5964,137.164,56.369,0.912,6089,87.141,0.632,316.144,0.75,2.433,jasmine,3
4933,125.004,51.364,0.912,5037,79.252,0.551,290.047,0.737,2.434,jasmine,3
5642,133.44,54.824,0.912,5769,84.756,0.632,309.718,0.739,2.434,jasmine,3
7313,151.602,62.268,0.912,7583,96.495,0.553,390.125,0.604,2.435,jasmine,1
6416,142.534,58.51,0.912,6559,90.383,0.559,331.296,0.735,2.436,jasmine,3
6290,141.412,58.043,0.912,6444,89.491,0.711,329.747,0.727,2.436,jasmine,3
5490,131.63,53.977,0.912,5623,83.607,0.533,312.898,0.705,2.439,jasmine,3
6745,147.006,60.262,0.912,6977,92.671,0.529,343.706,0.717,2.439,jasmine,1
5495,131.462,53.855,0.912,5573,83.645,0.54,302.958,0.752,2.441,jasmine,3
5166,128.762,52.726,0.912,5381,81.102,0.599,302.11,0.711,2.442,jasmine,3
5730,134.562,55.082,0.912,5831,85.415,0.532,309.111,0.754,2.443,jasmine,3
5931,136.62,55.923,0.912,6055,86.9,0.554,314.352,0.754,2.443,jasmine,3
6278,141.065,57.734,0.912,6426,89.406,0.525,333.722,0.708,2.443,jasmine,3
5000,125.919,51.51,0.913,5117,79.788,0.666,293.922,0.727,2.445,jasmine,3
5553,132.253,54.088,0.913,5668,84.085,0.56,302.542,0.762,2.445,jasmine,3
5905,136.887,55.979,0.913,6108,86.709,0.544,318.86,0.73,2.445,jasmine,3
5783,134.971,55.193,0.913,5937,85.809,0.595,316.683,0.725,2.445,jasmine,3
6095,139.575,57.064,0.913,6250,88.093,0.537,323.807,0.73,2.446,jasmine,3
6525,144.449,59.02,0.913,6709,91.148,0.809,338.191,0.717,2.447,jasmine,1
6392,142.403,58.146,0.913,6507,90.214,0.514,331.417,0.731,2.449,jasmine,3
5521,132.394,54.056,0.913,5678,83.842,0.529,311.235,0.716,2.449,jasmine,3
5844,135.816,55.445,0.913,5971,86.26,0.652,317.21,0.73,2.45,jasmine,3
5085,126.601,51.666,0.913,5213,80.464,0.542,296.2,0.728,2.45,jasmine,3
6789,146.729,59.854,0.913,6927,92.973,0.652,340.02,0.738,2.451,jasmine,1
5457,131.808,53.727,0.913,5545,83.355,0.536,303.999,0.742,2.453,jasmine,3
5825,136.052,55.446,0.913,5949,86.12,0.55,312.386,0.75,2.454,jasmine,3
6073,138.572,56.462,0.913,6361,87.934,0.574,359.911,0.589,2.454,jasmine,3
7281,152.068,61.933,0.913,7443,96.283,0.767,354.483,0.728,2.455,jasmine,1
5308,131.153,53.388,0.913,5513,82.209,0.648,307.129,0.707,2.457,jasmine,3
5921,136.776,55.66,0.913,6085,86.827,0.534,326.626,0.697,2.457,jasmine,3
6275,141.034,57.385,0.913,6467,89.384,0.63,332.61,0.713,2.458,jasmine,3
5602,133.657,54.362,0.914,5816,84.455,0.557,321.778,0.68,2.459,jasmine,3
5816,136.571,55.51,0.914,6004,86.053,0.663,321.354,0.708,2.46,jasmine,3
6177,142.081,57.746,0.914,6386,88.684,0.725,344.138,0.655,2.46,jasmine,3
5349,130.392,52.986,0.914,5463,82.526,0.762,301.307,0.74,2.461,jasmine,3
5261,129.81,52.736,0.914,5423,81.844,0.592,298.992,0.74,2.462,jasmine,3
5657,133.971,54.387,0.914,5762,84.869,0.691,307.377,0.752,2.463,jasmine,3
5619,134.666,54.664,0.914,5761,84.583,0.513,313.296,0.719,2.464,jasmine,3
6679,146.59,59.473,0.914,6851,92.217,0.588,342.99,0.713,2.465,jasmine,1
6616,145.323,58.952,0.914,6762,91.781,0.532,338.205,0.727,2.465,jasmine,1
7419,153.752,62.362,0.914,7629,97.191,0.634,364.293,0.703,2.465,jasmine,1
5753,135.597,54.974,0.914,5976,85.586,0.537,324.599,0.686,2.467,jasmine,3
5479,132.37,53.664,0.914,5569,83.523,0.82,305.798,0.736,2.467,jasmine,3
6353,142.895,57.929,0.914,6546,89.938,0.558,330.66,0.73,2.467,jasmine,3
6827,147.468,59.76,0.914,7075,93.233,0.534,366.42,0.639,2.468,jasmine,0
5870,137.276,55.621,0.914,5981,86.452,0.539,318.513,0.727,2.468,jasmine,3
5590,135.249,54.768,0.914,5843,84.365,0.73,314.076,0.712,2.47,jasmine,3
6137,140.552,56.884,0.914,6291,88.396,0.788,331.509,0.702,2.471,jasmine,3
5196,128.773,52.092,0.915,5285,81.337,0.578,294.312,0.754,2.472,jasmine,3
4904,125.104,50.582,0.915,5027,79.019,0.606,291.285,0.726,2.473,jasmine,3
5083,127.756,51.648,0.915,5253,80.448,0.584,301.515,0.703,2.474,jasmine,3
5930,137.807,55.708,0.915,6068,86.893,0.613,316.748,0.743,2.474,jasmine,3
6116,141.016,56.995,0.915,6334,88.245,0.753,332.336,0.696,2.474,jasmine,3
5586,134.305,54.269,0.915,5726,84.335,0.559,313.655,0.714,2.475,jasmine,3
5675,135.051,54.557,0.915,5866,85.004,0.756,313.96,0.723,2.475,jasmine,3
5902,137.549,55.565,0.915,6047,86.687,0.813,318.508,0.731,2.475,jasmine,3
5218,129.961,52.474,0.915,5347,81.509,0.647,303.606,0.711,2.477,jasmine,3
6160,140.931,56.893,0.915,6318,88.562,0.692,325.886,0.729,2.477,jasmine,3
6810,147.878,59.691,0.915,7005,93.117,0.549,344.075,0.723,2.477,jasmine,1
6400,143.234,57.809,0.915,6558,90.27,0.525,336.418,0.711,2.478,jasmine,3
7016,149.653,60.389,0.915,7156,94.515,0.686,346.611,0.734,2.478,jasmine,1
5252,130.371,52.606,0.915,5401,81.774,0.517,299.733,0.735,2.478,jasmine,3
5834,137.024,55.269,0.915,6000,86.186,0.537,314.336,0.742,2.479,jasmine,3
6229,142.307,57.38,0.915,6386,89.056,0.52,331.871,0.711,2.48,jasmine,3
6473,144.322,58.169,0.915,6633,90.784,0.531,339.214,0.707,2.481,jasmine,0
6052,138.956,56.001,0.915,6222,87.782,0.528,335.062,0.677,2.481,jasmine,3
6505,144.295,58.146,0.915,6619,91.008,0.778,330.607,0.748,2.482,jasmine,3
5257,129.894,52.319,0.915,5389,81.813,0.654,298.925,0.739,2.483,jasmine,3
4815,124.181,50.016,0.915,4915,78.298,0.716,285.643,0.742,2.483,jasmine,3
6205,140.642,56.642,0.915,6343,88.884,0.549,323.879,0.743,2.483,jasmine,3
5276,130.867,52.703,0.915,5452,81.961,0.511,302.594,0.724,2.483,jasmine,3
4894,124.907,50.3,0.915,5018,78.938,0.634,289.068,0.736,2.483,jasmine,3
6587,145.461,58.566,0.915,6737,91.58,0.534,338.46,0.723,2.484,jasmine,0
5526,133.405,53.711,0.915,5698,83.88,0.534,310.201,0.722,2.484,jasmine,3
4861,125.215,50.381,0.915,4984,78.672,0.579,288.771,0.733,2.485,jasmine,3
6524,145.592,58.537,0.916,6742,91.141,0.528,342.736,0.698,2.487,jasmine,0
6915,149.365,60.05,0.916,7157,93.832,0.613,352.591,0.699,2.487,jasmine,0
7049,151.144,60.765,0.916,7331,94.737,0.7,360.637,0.681,2.487,jasmine,0
5876,137.627,55.322,0.916,6038,86.496,0.564,320.545,0.719,2.488,jasmine,3
5730,135.712,54.526,0.916,5878,85.415,0.602,316.542,0.719,2.489,jasmine,3
6260,141.818,56.933,0.916,6387,89.278,0.825,325.752,0.741,2.491,jasmine,3
6646,146.526,58.789,0.916,6822,91.989,0.551,345.25,0.701,2.492,jasmine,0
4958,126.223,50.63,0.916,5138,79.453,0.556,308.106,0.656,2.493,jasmine,3
6694,147.989,59.346,0.916,6949,92.32,0.716,345.354,0.705,2.494,jasmine,0
5747,135.691,54.41,0.916,5901,85.541,0.646,318.849,0.71,2.494,jasmine,3
5999,138.932,55.7,0.916,6154,87.397,0.752,324.455,0.716,2.494,jasmine,3
5424,132.772,53.228,0.916,5569,83.103,0.597,307.502,0.721,2.494,jasmine,3
5568,134.338,53.848,0.916,5686,84.199,0.769,313.456,0.712,2.495,jasmine,3
6183,141.428,56.67,0.916,6311,88.727,0.78,327.531,0.724,2.496,jasmine,3
6752,147.92,59.266,0.916,6946,92.72,0.558,345.629,0.71,2.496,jasmine,0
7430,154.808,62.025,0.916,7628,97.263,0.794,358.313,0.727,2.496,jasmine,1
6369,143.26,57.394,0.916,6575,90.051,0.595,333.462,0.72,2.496,jasmine,3
4984,127.21,50.964,0.916,5094,79.661,0.59,294.096,0.724,2.496,jasmine,3
5079,129.193,51.751,0.916,5244,80.416,0.479,306.4,0.68,2.496,jasmine,3
4997,126.779,50.778,0.916,5148,79.765,0.58,296.694,0.713,2.497,jasmine,3
5465,132.783,53.176,0.916,5575,83.416,0.607,301.762,0.754,2.497,jasmine,3
6610,146.688,58.742,0.916,6777,91.739,0.543,341.561,0.712,2.497,jasmine,0
6774,148.314,59.308,0.917,6948,92.87,0.536,342.663,0.725,2.501,jasmine,0
6464,144.455,57.736,0.917,6651,90.721,0.785,339.953,0.703,2.502,jasmine,0
6268,143.356,57.292,0.917,6446,89.335,0.55,332.107,0.714,2.502,jasmine,3
5432,132.635,52.996,0.917,5533,83.164,0.511,304.496,0.736,2.503,jasmine,3
4999,126.91,50.707,0.917,5101,79.78,0.784,289.183,0.751,2.503,jasmine,3
6586,146.562,58.531,0.917,6721,91.573,0.522,339.927,0.716,2.504,jasmine,0
5810,137.269,54.784,0.917,5996,86.009,0.566,320.554,0.711,2.506,jasmine,3
5854,137.84,55.01,0.917,6065,86.334,0.532,341.106,0.632,2.506,jasmine,3
5785,136.968,54.631,0.917,5911,85.824,0.542,314.435,0.735,2.507,jasmine,3
5841,138.306,55.163,0.917,6009,86.238,0.716,324.356,0.698,2.507,jasmine,3
5349,131.351,52.389,0.917,5488,82.526,0.543,307.067,0.713,2.507,jasmine,3
6417,143.829,57.365,0.917,6590,90.39,0.564,336.391,0.713,2.507,jasmine,3
6422,144.043,57.428,0.917,6566,90.425,0.657,332.387,0.73,2.508,jasmine,3
4882,125.975,50.2,0.917,5008,78.841,0.662,292.466,0.717,2.509,jasmine,3
5463,133.002,52.999,0.917,5622,83.401,0.527,311.79,0.706,2.51,jasmine,3
4940,128.222,51.075,0.917,5154,79.308,0.499,295.416,0.711,2.51,jasmine,3
5824,137.983,54.954,0.917,6014,86.112,0.779,324.298,0.696,2.511,jasmine,3
6010,140.96,56.138,0.917,6249,87.477,0.543,333.439,0.679,2.511,jasmine,3
6505,145.824,58.056,0.917,6714,91.008,0.517,348.6,0.673,2.512,jasmine,0
5590,135.444,53.918,0.917,5757,84.365,0.793,311.47,0.724,2.512,jasmine,3
6263,142.54,56.736,0.917,6422,89.299,0.549,331.14,0.718,2.512,jasmine,3
7209,153.275,60.986,0.917,7401,95.806,0.562,359.523,0.701,2.513,jasmine,0
6965,150.818,60.007,0.917,7242,94.171,0.521,357.466,0.685,2.513,jasmine,0
5793,138.358,55.011,0.918,6005,85.883,0.511,326.112,0.685,2.515,jasmine,3
6375,144.776,57.562,0.918,6639,90.094,0.519,346.781,0.666,2.515,jasmine,0
6967,150.675,59.89,0.918,7112,94.184,0.594,346.653,0.729,2.516,jasmine,0
5445,133.411,53.028,0.918,5606,83.263,0.541,309.895,0.712,2.516,jasmine,3
5195,130.311,51.787,0.918,5307,81.329,0.538,297.993,0.735,2.516,jasmine,3
4764,125.417,49.832,0.918,4921,77.883,0.524,294.587,0.69,2.517,jasmine,3
5427,132.331,52.577,0.918,5547,83.126,0.518,308.283,0.718,2.517,jasmine,3
6043,140.502,55.819,0.918,6178,87.717,0.788,325.075,0.719,2.517,jasmine,3
5598,135.31,53.753,0.918,5737,84.425,0.777,315.854,0.705,2.517,jasmine,3
5645,135.283,53.741,0.918,5741,84.779,0.555,308.943,0.743,2.517,jasmine,3
6237,142.29,56.525,0.918,6375,89.113,0.541,332.001,0.711,2.517,jasmine,3
5037,128.398,51.006,0.918,5129,80.083,0.803,296.634,0.719,2.517,jasmine,3
6890,150.413,59.742,0.918,7161,93.662,0.515,375.725,0.613,2.518,jasmine,0
4762,124.499,49.449,0.918,4873,77.866,0.562,288.225,0.72,2.518,jasmine,3
5572,134.125,53.264,0.918,5686,84.229,0.767,308.6,0.735,2.518,jasmine,3
6870,149.909,59.514,0.918,7054,93.526,0.552,347.473,0.715,2.519,jasmine,0
5911,139.517,55.386,0.918,6142,86.753,0.528,336.417,0.656,2.519,jasmine,3
6213,143.392,56.914,0.918,6405,88.942,0.59,331.361,0.711,2.519,jasmine,3
6283,143.398,56.908,0.918,6441,89.441,0.543,332.719,0.713,2.52,jasmine,3
6769,148.982,59.082,0.918,6977,92.836,0.61,352.178,0.686,2.522,jasmine,0
5674,136.178,53.989,0.918,5797,84.996,0.637,316.21,0.713,2.522,jasmine,3
6553,146.194,57.952,0.918,6758,91.343,0.553,342.064,0.704,2.523,jasmine,0
5778,137.615,54.546,0.918,5877,85.772,0.537,319.025,0.713,2.523,jasmine,3
4793,125.203,49.62,0.918,4916,78.119,0.649,290.961,0.711,2.523,jasmine,3
6267,142.993,56.659,0.918,6389,89.327,0.618,330.477,0.721,2.524,jasmine,3
6811,149.153,59.093,0.918,7017,93.124,0.532,354.033,0.683,2.524,jasmine,0
5564,134.654,53.347,0.918,5701,84.168,0.707,309.04,0.732,2.524,jasmine,3
6092,141.279,55.968,0.918,6281,88.071,0.641,327.838,0.712,2.524,jasmine,3
5827,137.741,54.564,0.918,5970,86.135,0.651,317.698,0.725,2.524,jasmine,3
5418,133.21,52.758,0.918,5594,83.057,0.692,313.555,0.693,2.525,jasmine,3
6842,150.209,59.484,0.918,7094,93.335,0.717,351.499,0.696,2.525,jasmine,0
6120,142.153,56.294,0.918,6353,88.274,0.529,336.821,0.678,2.525,jasmine,3
5228,131.021,51.882,0.918,5358,81.587,0.563,300.052,0.73,2.525,jasmine,3
5105,129.283,51.185,0.918,5237,80.622,0.811,295.252,0.736,2.526,jasmine,3
6991,151.108,59.814,0.918,7133,94.346,0.531,350.981,0.713,2.526,jasmine,0
5662,136.091,53.86,0.918,5844,84.906,0.757,317.822,0.704,2.527,jasmine,3
5295,131.591,52.057,0.918,5404,82.108,0.621,300.397,0.737,2.528,jasmine,3
5224,130.662,51.686,0.918,5433,81.556,0.568,307.611,0.694,2.528,jasmine,3
6174,141.877,56.116,0.918,6467,88.662,0.694,331.825,0.705,2.528,jasmine,3
6651,148.8,58.839,0.919,6973,92.023,0.514,367.687,0.618,2.529,jasmine,0
5719,136.942,54.128,0.919,5859,85.333,0.647,316.558,0.717,2.53,jasmine,3
6632,147.969,58.477,0.919,6893,91.892,0.747,346.644,0.694,2.53,jasmine,0
6118,141.888,56.066,0.919,6266,88.259,0.789,328.424,0.713,2.531,jasmine,3
5129,129.653,51.23,0.919,5346,80.811,0.527,307.131,0.683,2.531,jasmine,3
5332,133.149,52.596,0.919,5461,82.395,0.491,308.202,0.705,2.532,jasmine,3
5142,129.527,51.162,0.919,5284,80.914,0.592,298.289,0.726,2.532,jasmine,3
5944,140.348,55.418,0.919,6107,86.995,0.562,325.929,0.703,2.533,jasmine,3
6050,141.784,55.985,0.919,6200,87.767,0.517,329.132,0.702,2.533,jasmine,3
5796,139.001,54.883,0.919,5965,85.905,0.776,323.984,0.694,2.533,jasmine,3
5901,140.173,55.343,0.919,6066,86.68,0.668,325.894,0.698,2.533,jasmine,3
6029,140.585,55.498,0.919,6157,87.615,0.593,324.506,0.719,2.533,jasmine,3
5748,137.301,54.2,0.919,5922,85.549,0.636,319.841,0.706,2.533,jasmine,3
5024,128.643,50.782,0.919,5157,79.98,0.694,297.611,0.713,2.533,jasmine,3
